" - Edit"," - Edit"
"About Blog","About Blog"
"Action","Action"
"Add","Add"
"Add Child Category","Add Child Category"
"Add New","Add New"
"Add New Post Attribute","Add New Post Attribute"
"Add Post","Add Post"
"Add Root Category","Add Root Category"
"Add Tag","Add Tag"
"Add category","Add category"
"Add option","Add option"
"Add post","Add post"
"Add tag","Add tag"
"Advanced Configuration","Advanced Configuration"
"After post content, it will show recent posts in same category","After post content, it will show recent posts in same category"
"Allow comments","Allow comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Assign category to Post","Assign category to Post"
"Assign post to Category","Assign post to Category"
"Assign post to Tag","Assign post to Tag"
"Assign tag to Post","Assign tag to Post"
"Attribute Information","Attribute Information"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attributes","Attributes"
"Back","Back"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","BetterBlog Feeds"
"Blog","Blog"
"Blog name","Blog name"
"CSV","CSV"
"Can","Can"
"Cannot move parent inside category","Cannot move parent inside category"
"Categories","Categories"
"Categories rss feed","Categories rss feed"
"Category","Category"
"Category API","Category API"
"Category move error","Category move error"
"Category view page","Category view page"
"Change status","Change status"
"Children","Children"
"Collapse All","Collapse All"
"Comment","Comment"
"Comment Form","Comment Form"
"Comment Title","Comment Title"
"Comment form has been disabled.","Comment form has been disabled."
"Comment title","Comment title"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comments","Comments"
"Content","Content"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find tag to delete.","Could not find tag to delete."
"Create new attribute","Create new attribute"
"Created at","Created at"
"Custom Sitemap","Custom Sitemap"
"Customer profile","Customer profile"
"Dark","Dark"
"Data cannot be null","Data cannot be null"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Comment Form","Default Comment Form"
"Default Values","Default Values"
"Default: 10","Default: 10"
"Default: 5","Default: 5"
"Delete","Delete"
"Delete Category","Delete Category"
"Delete File","Delete File"
"Delete Post","Delete Post"
"Delete Post Attribute","Delete Post Attribute"
"Delete Post comment","Delete Post comment"
"Delete Tag","Delete Tag"
"Delete attribute","Delete attribute"
"Description","Description"
"Disable Completely","Disable Completely"
"Disabled","Disabled"
"Display posts in same category","Display posts in same category"
"Disqus Comment","Disqus Comment"
"Disqus unique name","Disqus unique name"
"E-mail","E-mail"
"Edit","Edit"
"Edit Post Attribute","Edit Post Attribute"
"Edit Post Attribute ","Edit Post Attribute "
"Enable Comment Widget","Enable Comment Widget"
"Enable Most Views Widget","Enable Most Views Widget"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving post","Error saving post"
"Excel","Excel"
"Expand All","Expand All"
"Facebook Comment","Facebook Comment"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Color scheme"
"Facebook: Number of comment","Facebook: Number of comment"
"Facebook: Order by","Facebook: Order by"
"File","File"
"File ","File "
"Footer","Footer"
"Frontend Properties","Frontend Properties"
"General","General"
"Generate Blog Sitemap","Generate Blog Sitemap"
"Generate Blog Sitemap (Optional)","Generate Blog Sitemap (Optional)"
"Get Feed","Get Feed"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get list of non-default attributes","Get list of non-default attributes"
"Get list of possible attribute types","Get list of possible attribute types"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment."
"Image","Image"
"Import AW Blog","Import AW Blog"
"Import from AW Blog","Import from AW Blog"
"Info","Info"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty for no prefix. Default: blog","Leave empty for no prefix. Default: blog"
"Leave empty to use default URL module/controller/action. Default URL: posts","Leave empty to use default URL module/controller/action. Default URL: posts"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Light","Light"
"List","List"
